"ID","Reported Fiscal Year","Fiscal Year","Borough (Code)","Full Borough Name","Council District","Neighborhoods","Sponsor","Project Title","Project Description","Budget Line","Award Amount ($)"
"AG CN002","FY19","FY19","X","Bronx",16,"","Gibson","VOLUNTEERS OF AMERICA","CLARKE PLACE SENIOR RESIDENCE PROJECT","HD D024",250000
"CS NC001","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Speaker, Espinal","CYPRESS HILLS CHILD CARE CENTER","CONSTRUCTION OF A CHILD CARE CENTER","CS DN956",3640000
"E  CN001","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS","HVAC SYSTEM FOR CAFETERIA","E  D001",425000
"E  CN002","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS","PLAYGROUND RENOVATION","E  D001",100000
"E  CN003","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M114] EAST SIDE MIDDLE SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN004","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN005","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL","PLAYSPACE PROJECT","E  D001",461000
"E  CN006","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M158/02M177] BAYARD TAYLOR/YORKVILLE EAST MIDDLE SCHOOL","SECURITY CAMERAS","E  D001",210000
"E  CN007","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M183] ROBERT L. STEVENSON SCHOOL","HVAC SYSTEM FOR CAFETERIA","E  D001",600000
"E  CN008","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M217] ROOSEVELT ISLAND SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN009","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M225] ELLA BAKER SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN010","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M290] MANHATTAN NEW SCHOOL","RESTROOM RENOVATION","E  D001",200000
"E  CN011","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M416] ELEANOR ROOSEVELT HIGH SCHOOL","LIBRARY RENOVATION","E  D001",212000
"E  CN012","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M449] VANGUARD HIGH SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN013","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M459] MANHATTAN INTERNATIONAL HIGH SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN014","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M519] TALENT UNLIMITED HIGH SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN015","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M527] EAST SIDE SCHOOL FOR SOCIAL ACTION","TECHNOLOGY UPGRADES","E  D001",50000
"E  CN016","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M565] URBAN ACADEMY LABORATORY HIGH","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN017","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [02M655] LIFE SCIENCES SECONDARY SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN018","FY19","FY19","M","Manhattan",5,"Midtown, Flatiron District, NoMad, Union Square, Times Square","Kallos","[SCA] [10X445] BRONX HIGH SCHOOL OF SCIENCE","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN019","FY19","FY19","X","Bronx",12,"","King","11X287/11X370","MUSIC ROOM UPGRADE","E  D001",350000
"E  CN020","FY19","FY19","K","Brooklyn",40,"Bay Ridge, Dyker Heights, Fort Hamilton","Eugene","17K543 STAR EARLY COLLEGE SCHOOL AT ERASMUS HALL PROMETHAN PROJECT UPGR","TO PURCHASE 32 PROMETHEAN BOARDS, PROJECTOR INSTALLATION, AND 32 COMPUTERS.","E  D001",418000
"E  CN021","FY19","FY19","Q","Queens",28,"","Adams","28Q332 TECHNOLOGY","TECHNOLOGY","E  D001",150000
"E  CN022","FY19","FY19","K","Brooklyn",48,"","Deutsch","370K","TECHNOLOGY UPGRADES","E  D001",125000
"E  CN023","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Rivera","47 ASL AND ENGLISH SECONDARY SCHOOL (02M047) - TECHNOLOGY","TECHNOLOGY","E  D001",50000
"E  CN024","FY19","FY19","K","Brooklyn",48,"","Deutsch","771K","TECHNOLOGY UPGRADES","E  D001",150000
"E  CN025","FY19","FY19","K","Brooklyn",48,"","Deutsch","811K","CULINARY ARTS JOB TRAINING CENTER","E  D001",150000
"E  CN026","FY19","FY19","K","Brooklyn",47,"","Treyger","ABRAHAM LINCOLN HIGH SCHOOL (21K410) - COMPUTER LAB UPGRADE","COMPUTER LAB UPGRADE","E  D001",100000
"E  CN027","FY19","FY19","Q","Queens",26,"Bayside, Douglaston, Little Neck","Van Bramer","ACADEMY FOR CAREERS IN TELEVISION AND FILM","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN028","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Espinal","ACADEMY OF INNOVATIVE TECHNOLOGY  (K618)","GYM UPGRADE","E  D001",125000
"E  CN029","FY19","FY19","X","Bronx",12,"","King","ACADEMY OF SCHOLARSHIP AND ENTREPRENEURSHIP-TECHNOLOGY","TECHNOLOGY FOR THE ACADEMY OF SCHOLARSHIP AND ENTREPRENEURSHIP","E  D001",200000
"E  CN030","FY19","FY19","X","Bronx",18,"","Diaz Sr.","ALBERT EINSTEIN CAMPUS IS 131X - AUDITORIUM RENOVATION","LIGHTING, PROJECTOR, CURTAINS, AUDIO EQUIPMENT, PORTABLE CHOIR RISERS, PORTABLE DANCE FLOOR","E  D001",400000
"E  CN031","FY19","FY19","X","Bronx",13,"","Gjonaj","ASTOR COLLEGIATE ACADEMY: UPGRADE","TECHNOLOGY PURCHASES","E  D001",100000
"E  CN032","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","AUDITORIUM LIGHTING AND SOUND UPGRADE FOR 29Q140","PROJECT WILL PROVIDE LIGHTING AND SOUND UPGRADES FOR THE AUDITORIUM IN PS 140Q","E  D001",150000
"E  CN033","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","AUDITORIUM LIGHTING UPGRADE AT 29Q498","AUDITORIUM UPGRADE FOR HUMANITIES AND THE ARTS HS","E  D001",200000
"E  CN034","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","AUDITORIUM UPGRADE FOR IS 8","PROJECT WILL PROVIDE UPGRADES TO THE AUDITORIUM AT 28Q008","E  D001",125000
"E  CN035","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","AUDITORIUM UPGRADE FOR PS 176","PROJECT WILL PROVIDE UPGRADES TO THE AUDITORIUM AT 29Q176","E  D001",125000
"E  CN036","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","AUDITORIUM UPGRADE FOR PS 37","PROJECT WILL PROVIDE UPGRADES TO THE AUDITORIUM AT 29Q037","E  D001",125000
"E  CN037","FY19","FY19","Q","Queens",26,"Bayside, Douglaston, Little Neck","Van Bramer","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN038","FY19","FY19","Q","Queens",26,"Bayside, Douglaston, Little Neck","Van Bramer","BARD HIGH SCHOOL EARLY COLLEGE QUEENS","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN039","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Rivera","BARUCH COLLEGE CAMPUS HIGH SCHOOL (02M411) - TECHNOLOGY","TECHNOLOGY","E  D001",100000
"E  CN040","FY19","FY19","K","Brooklyn",33,"Greenpoint, Williamsburg","Levin","BATHROOM RENOVATION AT WESTINGHOUSE","RENOVATE THREE RESTROOMS AT GEORGE WESTINGHOUSE HIGH SCHOOL","E  D001",300000
"E  CN041","FY19","FY19","Q","Queens",19,"Astoria, Ditmars-Steinway","Vallone","BAYSIDE HIGH SCHOOL","CREATING AND UPGRADING MUSICAL PERFORMANCE SPACE","E  D001",600000
"E  CN042","FY19","FY19","M","Manhattan",3,"Lower East Side, Chinatown, Two Bridges, Alphabet City","Johnson","BEACON HS (P35M)","TECHNOLOGY UPGRADE","E  D001",50000
"E  CN043","FY19","FY19","Q","Queens",23,"Woodhaven, Richmond Hill","Grodenchik","BENJAMIN N. CARDOZO HIGH SCHOOL TECH UPGRADES","TO HELP FUND TECHNOLOGY UPGRADES.","E  D001",100000
"E  CN044","FY19","FY19","X","Bronx",13,"","Gjonaj","BRONX HIGH SCHOOL FOR THE VISUAL ARTS: UPGRADE","TECHNOLOGY PURCHASES","E  D001",100000
"E  CN045","FY19","FY19","X","Bronx",13,"","Gjonaj","BRONX RIVER HIGH SCHOOL: UPGRADE","TECHNOLOGY PURCHASES","E  D001",100000
"E  CN046","FY19","FY19","X","Bronx",13,"","Gjonaj","BRONXDALE HIGH SCHOOL: UPGRADE","TECHNOLOGY PURCHASES","E  D001",100000
"E  CN047","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN COLLEGE ACADEMY","CHEMISTRY LAB AT BROOKLYN COLLEGE ACADEMY'S CONEY ISLAND AVENUE LOCATION","E  D001",200000
"E  CN048","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN COLLEGE ACADEMY- TECHNOLOGY","TECHNOLOGY","E  D001",35000
"E  CN049","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Espinal","BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (23K664)","AUDITORIUM UPGRADE FOR BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL","E  D001",86000
"E  CN050","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN NEW SCHOOL- TECHNOLOGY","TECHNOLOGY","E  D001",35000
"E  CN051","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN PROSPECT CHARTER SCHOOL- TECHNOLOGY","TECHNOLOGY","E  D001",35000
"E  CN052","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN SCHOOL FOR COLLABORATIVE STUDIES","ELECTRIC AND PLUMBING WORK","E  D001",35000
"E  CN053","FY19","FY19","K","Brooklyn",47,"","Treyger","BROOKLYN STUDIO SECONDARY SCHOOL (21K690) - SCIENCE LAB UPGRADE","SCIENCE LAB UPGRADE","E  D001",100000
"E  CN054","FY19","FY19","K","Brooklyn",39,"Flatbush, Midwood, Kensington","Lander","BROOKLYN URBAN GARDEN CHARTER SCHOOL- TECHNOLOGY","TECHNOLOGY","E  D001",35000
"E  CN055","FY19","FY19","Q","Queens",23,"Woodhaven, Richmond Hill","Grodenchik","BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL ELECTRIC UPGRADES","TO HELP FUND THE UPGRADE OF THE ELECTRICAL SYSTEM","E  D001",50000
"E  CN056","FY19","FY19","Q","Queens",23,"Woodhaven, Richmond Hill","Grodenchik","CAMBRIA HEIGHTS ACADEMY TECH UPGRADES","TO HELP FUND TECHNOLOGY UPGRADES.","E  D001",50000
"E  CN057","FY19","FY19","X","Bronx",11,"","Cohen","CELIA CRUZ HIGH SCHOOL TECHNOLOGY","TECHNOLOGY UPGRADES (E.G., SMARTBOARDS AND LAPTOP CARTS)","E  D001",40000
